term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
sufficient,0.0017645936877737419,0.018523961163091168,-0.00903881458594473,-0.009168554851000765,-0.007365048431072088,0.005237387306509932,0.005749625560247466,-0.000612853880471045,0.01517002862231244,-0.013284548291306209
change,0.004730885738784212,-0.01250498446365007,0.013071438813370957,0.008692459291456935,0.00451160964880916,-0.009735822395748057,0.0006474907709813065,0.00488362661984939,-0.0010849442414255922,-0.005359055239771086
apt,-0.020110246399737654,0.003859451888691304,-0.00019730027471755765,-0.02590892922129056,0.00792660416199725,-0.003244287024480995,0.0024905310972928303,0.014461778898772966,-0.0067271496075136245,0.004461747041116921
purpose,-0.006903837618180378,0.006188243709231046,0.0010937248133895247,-0.004372439347536086,0.006582675205975015,-0.0015761572256172412,0.010194926445669567,0.024548570748108154,-0.002499615015726861,-0.00833065744193715
justice,0.01991603915346396,0.009312744577203446,0.003970139350818337,-0.01690306478284051,-0.031008039551377622,0.02952042837843642,0.055277261555889794,-0.01300925042189362,0.003756312355351602,0.006758227004710609
proper,-0.014267983302763318,0.006517580013764441,-0.0061944940938708165,-0.001380218742236705,0.006468286640391565,0.0003625206756367092,0.027885007384029766,0.017426389751411354,0.007116209152892773,0.012580607334143233
observe,-0.026243406346465954,0.009291632682990268,-0.006258033152291666,-0.0006483159469051951,-0.0007262464549333702,0.0043625155212794016,0.009214652969489668,0.010501349901215712,0.0011435953579241184,-0.0037857544765892382
c,-0.030947031181591214,0.015830406667787365,0.016299678632967312,-0.006820643703034199,0.015761078363781128,-0.010242313624395948,-0.0006270034456176705,0.02147045663555976,-0.022877175738953474,-0.013562209859872632
fit,0.0007478250764478469,0.001750617063411116,-0.005977015925507962,-0.02885139206174447,0.0006186576445966112,0.008274485282323463,-0.000838010759184616,0.0014950846498649024,0.003666684862763055,-0.002983305523936992
serve,-0.009119773175536392,0.0017617773628597227,-0.0028909878577057313,0.0021887383510146396,-0.000256840101219614,0.012300142269791599,0.014004314274018556,0.008797303734560478,0.011961586894991987,-0.013795200655486834
fact,0.022917614053548287,-0.01996356196713462,-0.011899611859138182,0.040604586861797916,-0.03312625829353921,-0.0012726509650809689,0.0112632403552622,0.0021487034418914614,0.021489331058413493,0.0018330414118988357
effect,0.00036493276679624835,0.006002081907064976,0.010333249133767966,0.0031163930241344864,0.009033959052915675,-0.01710497261034281,0.024673310222656262,0.005673673713602888,0.013873573132106371,-0.002036745040869304
hand,0.004658053579394687,-0.00023571812090772217,-0.005226843106775149,0.014256658965374574,0.013359879372820401,-0.01080344492508092,0.014372106007372277,0.01979839150405189,0.009753111243852697,-0.005428877240778585
relation,-0.010835282866810216,-0.0695165334408051,0.04120228267536464,0.07230212864169097,-0.0020677130945821994,0.008894274297741225,-0.007179006215860253,-0.04081570657850105,0.008127012779819358,-0.0728270873523746
discourse,-0.022613306651402834,0.021620877868259312,-0.008605717679503645,-0.005000748549945062,0.010872038794745442,0.010996940291750084,0.033207906744309255,0.027382061568997817,0.004936175897852554,0.06550923270327667
example,0.008700310404239613,0.008689294907462574,-0.0062768280601520465,0.004904150778987307,-0.00719875415174032,0.003042627888258703,0.024377042889397252,0.00871312494353156,0.01434347275990501,0.011646671450021453
judge,0.031035670023928135,0.006300726288446142,-0.007352912562541888,-0.031664422017786784,-0.011425299156855315,0.008331345194139366,0.01107457884722184,-0.02576389282407298,-0.015298013417479604,-0.030962240503318732
sort,-0.04546335514796803,0.004173478248319817,0.003813234116961896,-0.006769090699409768,0.0022845075344704365,0.04037854277414324,0.016383233389494385,0.001019465843682195,0.009936695269120464,-0.0023567216831132955
leave,-0.0009567440677395677,-0.011904855646580443,0.0029789851647667506,0.003020585867682236,-0.0011268400846936128,0.008628526523082063,0.00791445731873191,0.0019223561858109778,0.0014838490326714619,-0.009702065980369282
follow,0.00030308412983062847,0.0027447478228977812,-0.012078402863226265,-0.0013286310907560707,-0.00027985855061317297,-0.0003175364515647829,0.021954389025162366,0.008582646244538123,0.024032385040697303,0.008148933007857748
peace,0.043353564612304385,0.01739380414649078,0.004694707444752279,-0.03873348949327695,-0.05719641700660443,0.0109495157622636,0.04455090953842737,0.0034871090332614977,0.023520547501785536,-0.0015287215519904096
real,-0.12923100514770616,-0.037545647776103884,0.06113138640997202,0.004094849161734421,0.0014109467472588617,0.2210045308574758,0.0864357704146388,-0.05892384476198461,0.07589356695555613,0.05471559241943931
condition,0.027724919256127314,-0.00140226491774444,-0.012558520116260078,-0.028340171831951904,-0.027727185870415633,-0.007468120012886864,0.06236034232340725,-0.015020728835962477,0.0012339447338961045,-0.01522525561012969
action,-0.01149289296939244,0.012924233238171805,0.013997380112027774,-0.0025584589171281954,-0.02198306334592541,-0.026258473815245452,0.055522547510468395,0.08329574433645012,-0.03043257674684956,-0.011719710469106635
doubt,-0.03794453289407227,0.005942136300499832,-0.053060055121484866,0.0005620709487384944,-0.0025032386297999987,0.01801692670667712,-0.009323612173544443,-0.00814942508162302,0.0070160654282641,-0.002940291894428998
difference,-0.01241228802491539,-0.004720682968389574,-0.014316772782521537,-0.0006398490071275475,-0.01158836350382028,0.0007401827336674939,0.016474099482470958,0.02121451283013423,0.0149179108207196,-2.9370000889677517e-05
existence,-0.0762917044618121,-0.005052046308703208,-0.029541677382110353,0.01897627138849601,-0.010934865235504566,-0.029505376295986575,-0.033026540270670604,-0.054293472294378226,-0.05591391224652099,-0.0400762067607769
