book_id,chap_num,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,title,author,doc
1,19,0.12275292852685846,-0.1685113377448015,-0.029946510727598012,0.09135385532114683,0.002645387730810837,-0.06874684680714899,0.16757113820462624,-0.036736059693204814,0.17410065610740247,-0.17656512534227572,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH19)
1,20,0.10928029668798014,-0.1615606454938314,-0.04075424493158431,0.10028098092065858,-0.002873488859869588,-0.05513923061686136,0.15275068706474565,-0.008340374654086909,0.1780416203581557,-0.10823214791269596,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH20)
1,21,0.13271108106139948,-0.22082385829367457,0.0391183534677785,0.17672767300449685,-0.008519054435419884,0.0020484411229927534,0.049925314139030126,-0.019258588989276643,0.07568488119562654,-0.09358611289679827,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH21)
1,22,0.2187068450375587,-0.43501224413888423,0.13654741130038017,0.3374487906285438,-0.017297598832832415,0.06061021769860632,-0.13827966877660838,-0.04592321047107702,-0.18302137170279323,0.12542443042239243,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH22)
1,23,0.1729795360327642,-0.36909974974063103,0.10678251422779869,0.29715426129173983,-0.03398731620179019,0.0724579871631077,-0.17472626865734478,0.05925659700942955,0.0038316725124011735,0.07399692191452083,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH23)
1,24,0.14998729103867747,-0.24525957062031137,0.17234934806363192,0.21694585841870587,-0.07998599561360965,0.087934417092104,-0.3564894566485017,0.35001285297583834,0.1524946451969008,0.048956999170452584,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH24)
1,25,0.2097680426495106,-0.33022710591211174,0.07836237021959708,0.2309226551702574,-0.03552876465854624,0.07096518868745404,-0.13628763590945014,0.22818451907075926,0.20402653012051675,0.019217794113998037,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH25)
1,26,0.16681485066395985,-0.27441667823753463,0.10144272316230783,0.26829262753392025,-0.0641574767858038,0.06378242679681861,-0.1727296574334375,0.2506861503005771,0.1589552344677157,0.035841136164304156,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH26)
1,27,0.20767478805488995,-0.2604220566984914,0.03552219044312487,0.19844757708092506,0.007348164341718009,0.05005445614366365,-0.0743103581352878,0.20528071786933147,0.21521150279458318,-0.0422330534546424,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH27)
1,28,0.10021369705474313,-0.27789315194941394,0.2348738782266416,0.1423084817907403,-0.008564645995464215,0.13150206087180352,-0.3014202420843935,0.2904759148776009,-0.07266469642095982,0.0812741462760426,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH28)
1,29,0.11667344493361483,-0.18780126359187727,-0.0025183053476331577,0.14372241415331427,-0.043853826376695194,-0.0405833181308689,-0.032027957200435865,0.20267960029533125,0.2922650819885303,-0.09363797606443412,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH29)
1,30,0.07593584521446352,-0.18748543963373226,-0.044360854156005415,0.08081455255247867,-0.011773390144126374,0.015452283611711437,0.02120405344966142,0.06606275505247723,0.1255247647186595,-0.1080766680454493,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH30)
1,31,0.2038903282360276,-0.290718973051568,0.12267846631629657,0.3031911035827116,-0.05460723618605302,0.09913729863834288,-0.18602725405295878,0.20808272963917446,0.13007272466877676,0.03680680088728057,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH31)
1,32,0.17552389271065663,-0.19877302157213228,0.01771574506110717,0.1324915240194713,0.07069153073680867,-0.06401997421428376,0.009900674550494672,-0.031144736029601414,-0.1374521328106636,0.15295019246847857,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH32)
1,33,0.1506575244611824,-0.2146490013825695,0.06406841695303281,0.2530114291718937,-0.08468162474014278,0.01427011160626917,-0.08712814066481814,-0.039844945182033645,-0.12696539426485648,0.04165758338922261,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH33)
1,34,0.14113395032414067,-0.22633351962435574,0.1316266687350819,0.23328961490318484,-0.031185569601962067,0.031449000101655536,-0.035404626845921425,-0.035698134254833855,-0.09567194606194158,0.013255123918311537,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH34)
1,35,0.18660426767704316,-0.24772374091958538,0.09676591426324266,0.22872903553848525,-0.02380783986685225,-0.005769185016405203,-0.15798742017501402,0.011605895295939127,-0.1701421232964932,0.1568424553993359,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH35)
1,36,0.1656383063947369,-0.24863812611945268,0.007665990310330337,0.1315169905432458,-0.024220144491912888,-0.013046736243666878,0.109750284583229,0.006593758527174068,0.09370957335975474,-0.024397310723317446,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH36)
